                                           n
  Obs    industry    empcat2    year    Estabs    nObs
 
    1        1          1       1980      475      475
    2        1          1       1981      456      456
    3        1          2       1980      223      223
    4        1          2       1981      188      188
    5        1          3       1980      131      131
    6        1          3       1981      116      116
    7        1          4       1980       68       68
    8        1          4       1981       79       79
    9        1          5       1980       68       68
   10        1          5       1981       59       59
