Obs        industry          empcat            year      NObs
 
  1               1               1            1980        26
  2               1               1            1981        19
  3               1               2            1980        21
  4               1               2            1981        34
  5               2               1            1980         4
  6               2               2            1980         2
  7               3               1            1980        24
  8               3               1            1981        21
  9               3               2            1980        21
 10               3               2            1981        15
